rho,modality,task,mean_auc,sd_auc
0.0,gene,t1,0.796875,0.0
0.0,gene,t2,0.7545454545454545,0.0
0.1,gene,t1,0.796875,0.0
0.1,gene,t2,0.7545454545454545,0.0
0.2,gene,t1,0.80078125,0.0
0.2,gene,t2,0.7636363636363637,0.0
0.3,gene,t1,0.80078125,0.0
0.3,gene,t2,0.7636363636363637,0.0
0.5,gene,t1,0.78125,0.0
0.5,gene,t2,0.7545454545454545,0.0
0.7,gene,t1,0.734375,0.0
0.7,gene,t2,0.6909090909090909,0.0
1.0,gene,t1,0.75,0.0
1.0,gene,t2,0.6909090909090909,0.0
0.0,cytokine,t1,0.796875,0.0
0.0,cytokine,t2,0.7545454545454545,0.0
0.1,cytokine,t1,0.796875,0.0
0.1,cytokine,t2,0.7545454545454545,0.0
0.2,cytokine,t1,0.796875,0.0
0.2,cytokine,t2,0.7818181818181819,0.0
0.3,cytokine,t1,0.796875,0.0
0.3,cytokine,t2,0.7909090909090909,0.0
0.5,cytokine,t1,0.78125,0.0
0.5,cytokine,t2,0.7636363636363636,0.0
0.7,cytokine,t1,0.74609375,0.0
0.7,cytokine,t2,0.7636363636363636,0.0
1.0,cytokine,t1,0.73828125,0.0
1.0,cytokine,t2,0.7545454545454545,0.0
0.0,antibody,t1,0.796875,0.0
0.0,antibody,t2,0.7545454545454545,0.0
0.1,antibody,t1,0.796875,0.0
0.1,antibody,t2,0.7545454545454545,0.0
0.2,antibody,t1,0.78125,0.0
0.2,antibody,t2,0.7181818181818181,0.0
0.3,antibody,t1,0.78125,0.0
0.3,antibody,t2,0.7181818181818181,0.0
0.5,antibody,t1,0.73046875,0.0
0.5,antibody,t2,0.6818181818181818,0.0
0.7,antibody,t1,0.734375,0.0
0.7,antibody,t2,0.6818181818181818,0.0
1.0,antibody,t1,0.72265625,0.0
1.0,antibody,t2,0.6545454545454545,0.0
0.0,cell,t1,0.796875,0.0
0.0,cell,t2,0.7545454545454545,0.0
0.1,cell,t1,0.796875,0.0
0.1,cell,t2,0.7545454545454545,0.0
0.2,cell,t1,0.796875,0.0
0.2,cell,t2,0.7545454545454545,0.0
0.3,cell,t1,0.7890625,0.0
0.3,cell,t2,0.6636363636363636,0.0
0.5,cell,t1,0.79296875,0.0
0.5,cell,t2,0.7181818181818181,0.0
0.7,cell,t1,0.828125,0.0
0.7,cell,t2,0.6545454545454545,0.0
1.0,cell,t1,0.8828125,0.0
1.0,cell,t2,0.5909090909090908,0.0
