subject_id,antibody,cell,cytokine,gene,cohort
11,1,1,1,1,2020_dataset
15,1,1,1,1,2020_dataset
17,1,1,1,1,2020_dataset
20,1,1,1,1,2020_dataset
21,1,1,1,1,2020_dataset
26,1,1,1,1,2020_dataset
29,1,1,1,1,2020_dataset
31,1,1,1,1,2020_dataset
33,1,1,1,1,2020_dataset
36,1,1,1,1,2020_dataset
4,1,1,1,1,2020_dataset
44,1,1,1,1,2020_dataset
47,1,1,1,1,2020_dataset
48,1,1,1,1,2020_dataset
52,1,1,1,1,2020_dataset
6,1,1,1,1,2020_dataset
45,1,1,1,0,2020_dataset
46,1,1,1,0,2020_dataset
1,1,0,0,1,2020_dataset
10,1,0,0,1,2020_dataset
13,1,0,0,1,2020_dataset
18,1,0,0,1,2020_dataset
19,1,0,0,1,2020_dataset
22,1,0,0,1,2020_dataset
23,1,0,0,1,2020_dataset
24,1,0,0,1,2020_dataset
25,1,0,0,1,2020_dataset
27,1,0,0,1,2020_dataset
3,1,0,0,1,2020_dataset
32,1,0,0,1,2020_dataset
35,1,0,0,1,2020_dataset
38,1,0,0,1,2020_dataset
42,1,0,0,1,2020_dataset
43,1,0,0,1,2020_dataset
5,1,0,0,1,2020_dataset
50,1,0,0,1,2020_dataset
53,1,0,0,1,2020_dataset
9,1,0,0,1,2020_dataset
49,1,1,0,0,2020_dataset
55,1,1,0,0,2020_dataset
12,1,0,0,0,2020_dataset
14,1,0,0,0,2020_dataset
16,1,0,0,0,2020_dataset
28,1,0,0,0,2020_dataset
30,1,0,0,0,2020_dataset
39,1,0,0,0,2020_dataset
40,1,0,0,0,2020_dataset
41,1,0,0,0,2020_dataset
51,1,0,0,0,2020_dataset
54,1,0,0,0,2020_dataset
56,1,0,0,0,2020_dataset
57,1,0,0,0,2020_dataset
58,1,0,0,0,2020_dataset
59,1,0,0,0,2020_dataset
60,1,0,0,0,2020_dataset
63,1,1,1,1,2021_dataset
64,1,1,1,1,2021_dataset
65,1,1,1,1,2021_dataset
66,1,1,1,1,2021_dataset
67,1,1,1,1,2021_dataset
68,1,1,1,1,2021_dataset
69,1,1,1,1,2021_dataset
70,1,1,1,1,2021_dataset
71,1,1,1,1,2021_dataset
72,1,1,1,1,2021_dataset
73,1,1,1,1,2021_dataset
74,1,1,1,1,2021_dataset
76,1,1,1,1,2021_dataset
77,1,1,1,1,2021_dataset
78,1,1,1,1,2021_dataset
79,1,1,1,1,2021_dataset
80,1,1,1,1,2021_dataset
81,1,1,1,1,2021_dataset
83,1,1,1,1,2021_dataset
84,1,1,1,1,2021_dataset
85,1,1,1,1,2021_dataset
86,1,1,1,1,2021_dataset
89,1,1,1,1,2021_dataset
90,1,1,1,1,2021_dataset
91,1,1,1,1,2021_dataset
92,1,1,1,1,2021_dataset
93,1,1,1,1,2021_dataset
94,1,1,1,1,2021_dataset
95,1,1,1,1,2021_dataset
96,1,1,1,1,2021_dataset
61,1,0,1,1,2021_dataset
62,1,0,1,1,2021_dataset
75,1,0,1,1,2021_dataset
100,1,1,1,1,2022_dataset
101,1,1,1,1,2022_dataset
102,1,1,1,1,2022_dataset
103,1,1,1,1,2022_dataset
108,1,1,1,1,2022_dataset
109,1,1,1,1,2022_dataset
111,1,1,1,1,2022_dataset
112,1,1,1,1,2022_dataset
115,1,1,1,1,2022_dataset
116,1,1,1,1,2022_dataset
117,1,1,1,1,2022_dataset
118,1,1,1,1,2022_dataset
98,1,1,1,1,2022_dataset
99,1,1,1,1,2022_dataset
105,1,1,0,1,2022_dataset
97,1,1,0,1,2022_dataset
121,1,1,1,1,2023_dataset
122,1,1,1,1,2023_dataset
123,1,1,1,1,2023_dataset
124,1,1,1,1,2023_dataset
125,1,1,1,1,2023_dataset
126,1,1,1,1,2023_dataset
127,1,1,1,1,2023_dataset
128,1,1,1,1,2023_dataset
129,1,1,1,1,2023_dataset
130,1,1,1,1,2023_dataset
131,1,1,1,1,2023_dataset
132,1,1,1,1,2023_dataset
133,1,1,1,1,2023_dataset
134,1,1,1,1,2023_dataset
135,1,1,1,1,2023_dataset
136,1,1,1,1,2023_dataset
137,1,1,1,1,2023_dataset
138,1,1,1,1,2023_dataset
139,1,1,1,1,2023_dataset
140,1,1,1,1,2023_dataset
143,1,1,1,1,2023_dataset
144,1,1,1,1,2023_dataset
145,1,1,1,1,2023_dataset
146,1,1,1,1,2023_dataset
147,1,1,1,1,2023_dataset
150,1,1,1,1,2023_dataset
154,1,1,1,1,2023_dataset
141,1,0,1,1,2023_dataset
142,1,0,1,1,2023_dataset
149,1,0,1,1,2023_dataset
153,1,0,1,1,2023_dataset
119,1,1,0,1,2023_dataset
148,1,1,0,1,2023_dataset
152,1,1,0,1,2023_dataset
155,1,1,0,1,2023_dataset
157,1,1,0,1,2023_dataset
158,1,1,0,1,2023_dataset
159,1,1,0,1,2023_dataset
160,1,1,0,1,2023_dataset
161,1,1,0,1,2023_dataset
162,1,1,0,1,2023_dataset
163,1,1,0,1,2023_dataset
164,1,1,0,1,2023_dataset
165,1,1,0,1,2023_dataset
166,1,1,0,1,2023_dataset
167,1,1,0,1,2023_dataset
168,1,1,0,1,2023_dataset
169,1,1,0,1,2023_dataset
170,1,1,0,1,2023_dataset
171,1,1,0,1,2023_dataset
172,1,1,0,1,2023_dataset
120,1,1,1,0,2023_dataset
151,1,0,0,1,2023_dataset
156,1,0,0,1,2023_dataset
